Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2017,12,2,1,164071,67433,593378,0.1136,,
2017,12,5,1,373784,153625,2455022,0.0626,,
2017,12,8,1,1572105,646135,4634346,0.1394,,
2017,12,9,1,592301,243436,3015481,0.0807,,
2017,12,12,1,5659929,2326231,17722275,0.1313,,
2017,12,17,1,2662850,1094431,10556100,0.1037,,
2017,12,20,1,412362,169481,2356231,0.0719,,
2017,12,21,1,668296,274670,3670568,0.0748,,
2017,12,22,1,974117,400362,3807282,0.1052,,
2017,12,25,1,1721765,707646,5815595,0.1217,,
2017,12,29,1,1140300,468663,5037634,0.093,,
2017,12,38,1,198340,81518,613251,0.1329,,
2017,12,48,1,4528222,1861099,22572383,0.0825,,
2017,12,51,1,1275484,524224,7015247,0.0747,,
2017,12,55,1,1259250,517552,4805415,0.1077,,
2017,12,2,2,222366,28685,593378,0.0483,,
2017,12,5,2,454631,58647,2455022,0.0239,,
2017,12,8,2,1983162,255828,4634346,0.0552,,
2017,12,9,2,1359326,175353,3015481,0.0582,,
2017,12,12,2,7009832,904268,17722275,0.051,,
2017,12,17,2,4173641,538400,10556100,0.051,,
2017,12,21,2,605296,78083,3670568,0.0213,,
2017,12,22,2,1054703,136057,3807282,0.0357,,
2017,12,25,2,3516473,453625,5815595,0.078,,
2017,12,29,2,1358518,175249,5037634,0.0348,,
2017,12,38,2,192377,24817,613251,0.0405,,
2017,12,41,2,1404561,181188,3468412,0.0522,,
2017,12,48,2,5669725,731395,22572383,0.0324,,
2017,12,51,2,2627284,338920,7015247,0.0483,,
2017,12,55,2,1514767,195405,4805415,0.0407,,
2017,12,2,3,951832,42832,593378,0.0722,,
2017,12,5,3,3554971,159974,2455022,0.0652,,
2017,12,8,3,8940531,402324,4634346,0.0868,,
