State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
Kentucky,2017,08 Aug,Spirits,221830,3670568,6.04,,
Louisiana,2017,08 Aug,Spirits,302515,3807282,7.95,,
Massachusetts,2017,08 Aug,Spirits,443277,5815595,7.62,,
Missouri,2017,08 Aug,Spirits,418433,5037634,8.31,,
North Dakota,2017,08 Aug,Spirits,68927,613251,11.24,,
Texas,2017,08 Aug,Spirits,1292062,22572383,5.72,,
Virginia,2017,08 Aug,Spirits,386402,7015247,5.51,,
Wisconsin,2017,08 Aug,Spirits,389960,4805415,8.12,,
Alaska,2017,08 Aug,Wine,32067,593378,5.4,,
Arkansas,2017,08 Aug,Wine,40599,2455022,1.65,,
Colorado,2017,08 Aug,Wine,218514,4634346,4.72,,
Connecticut,2017,08 Aug,Wine,137931,3015481,4.57,,
Florida,2017,08 Aug,Wine,754895,17722275,4.26,,
Illinois,2017,08 Aug,Wine,435978,10556100,4.13,,
Kentucky,2017,08 Aug,Wine,54267,3670568,1.48,,
Louisiana,2017,08 Aug,Wine,111839,3807282,2.94,,
Massachusetts,2017,08 Aug,Wine,301765,5815595,5.19,,
Missouri,2017,08 Aug,Wine,158865,5037634,3.15,,
North Dakota,2017,08 Aug,Wine,16960,613251,2.77,,
Oregon,2017,08 Aug,Wine,148148,3468412,4.27,,
Texas,2017,08 Aug,Wine,646534,22572383,2.86,,
Virginia,2017,08 Aug,Wine,299326,7015247,4.27,,
Wisconsin,2017,08 Aug,Wine,139021,4805415,2.89,,
Alaska,2017,08 Aug,Beer,73643,593378,12.41,,
Arkansas,2017,08 Aug,Beer,200128,2455022,8.15,,
Colorado,2017,08 Aug,Beer,537962,4634346,11.61,,
Connecticut,2017,08 Aug,Beer,256051,3015481,8.49,,
Florida,2017,08 Aug,Beer,1712901,17722275,9.67,,
Illinois,2017,08 Aug,Beer,1201127,10556100,11.38,,
Kansas,2017,08 Aug,Beer,211730,2356231,8.99,,
Kentucky,2017,08 Aug,Beer,285049,3670568,7.77,,
Massachusetts,2017,08 Aug,Beer,556807,5815595,9.57,,
Missouri,2017,08 Aug,Beer,545941,5037634,10.84,,
North Dakota,2017,08 Aug,Beer,86030,613251,14.03,,
Oregon,2017,08 Aug,Beer,418496,3468412,12.07,,
Texas,2017,08 Aug,Beer,2241990,22572383,9.93,,
Virginia,2017,08 Aug,Beer,657757,7015247,9.38,,
Alaska,2017,09 Sep,Spirits,59212,593378,9.98,,
Arkansas,2017,09 Sep,Spirits,151398,2455022,6.17,,
Colorado,2017,09 Sep,Spirits,433628,4634346,9.36,,
Connecticut,2017,09 Sep,Spirits,223091,3015481,7.4,,
Florida,2017,09 Sep,Spirits,1153296,17722275,6.51,,
Illinois,2017,09 Sep,Spirits,666299,10556100,6.31,,
Kansas,2017,09 Sep,Spirits,159951,2356231,6.79,,
Kentucky,2017,09 Sep,Spirits,253002,3670568,6.89,,
Louisiana,2017,09 Sep,Spirits,283286,3807282,7.44,,
Massachusetts,2017,09 Sep,Spirits,477877,5815595,8.22,,
Missouri,2017,09 Sep,Spirits,493152,5037634,9.79,,
North Dakota,2017,09 Sep,Spirits,62741,613251,10.23,,
